Round Number,Home Team,Away Team
1,Man Utd,Fulham
1,Ipswich,Liverpool
1,Arsenal,Wolves
1,Everton,Brighton
1,Newcastle,Southampton
1,Nott'm Forest,Bournemouth
1,West Ham,Aston Villa
1,Brentford,Crystal Palace
1,Chelsea,Man City
1,Leicester,Spurs
2,Brighton,Man Utd
2,Crystal Palace,West Ham
2,Fulham,Leicester
2,Man City,Ipswich
2,Southampton,Nott'm Forest
2,Spurs,Everton
2,Aston Villa,Arsenal
2,Bournemouth,Newcastle
2,Wolves,Chelsea
2,Liverpool,Brentford
3,Arsenal,Brighton
3,Brentford,Southampton
3,Everton,Bournemouth
3,Ipswich,Fulham
3,Leicester,Aston Villa
3,Nott'm Forest,Wolves
3,West Ham,Man City
3,Chelsea,Crystal Palace
3,Newcastle,Spurs
3,Man Utd,Liverpool
4,Southampton,Man Utd
4,Brighton,Ipswich
4,Crystal Palace,Leicester
4,Fulham,West Ham
4,Liverpool,Nott'm Forest
4,Man City,Brentford
4,Aston Villa,Everton
4,Bournemouth,Chelsea
4,Spurs,Arsenal
4,Wolves,Newcastle
5,West Ham,Chelsea
5,Aston Villa,Wolves
5,Fulham,Newcastle
5,Leicester,Everton
5,Liverpool,Bournemouth
5,Southampton,Ipswich
5,Spurs,Brentford
5,Crystal Palace,Man Utd
5,Brighton,Nott'm Forest
5,Man City,Arsenal
6,Newcastle,Man City
6,Arsenal,Leicester
6,Brentford,West Ham
6,Chelsea,Brighton
6,Everton,Crystal Palace
6,Nott'm Forest,Fulham
6,Wolves,Liverpool
6,Ipswich,Aston Villa
6,Man Utd,Spurs
6,Bournemouth,Southampton
7,Crystal Palace,Liverpool
7,Arsenal,Southampton
7,Brentford,Wolves
7,Leicester,Bournemouth
7,Man City,Fulham
7,West Ham,Ipswich
7,Everton,Newcastle
7,Aston Villa,Man Utd
7,Chelsea,Nott'm Forest
7,Brighton,Spurs
8,Spurs,West Ham
8,Fulham,Aston Villa
8,Man Utd,Brentford
8,Newcastle,Brighton
8,Southampton,Leicester
8,Ipswich,Everton
8,Bournemouth,Arsenal
8,Wolves,Man City
8,Liverpool,Chelsea
8,Nott'm Forest,Crystal Palace
9,Leicester,Nott'm Forest
9,Aston Villa,Bournemouth
9,Brentford,Ipswich
9,Brighton,Wolves
9,Man City,Southampton
9,Everton,Fulham
9,Chelsea,Newcastle
9,Crystal Palace,Spurs
9,West Ham,Man Utd
9,Arsenal,Liverpool
10,Newcastle,Arsenal
10,Bournemouth,Man City
10,Ipswich,Leicester
10,Liverpool,Brighton
10,Nott'm Forest,West Ham
10,Southampton,Everton
10,Wolves,Crystal Palace
10,Spurs,Aston Villa
10,Man Utd,Chelsea
10,Fulham,Brentford
11,Brentford,Bournemouth
11,Crystal Palace,Fulham
11,West Ham,Everton
11,Wolves,Southampton
11,Brighton,Man City
11,Liverpool,Aston Villa
11,Man Utd,Leicester
11,Nott'm Forest,Newcastle
11,Spurs,Ipswich
11,Chelsea,Arsenal
12,Leicester,Chelsea
12,Arsenal,Nott'm Forest
12,Aston Villa,Crystal Palace
12,Bournemouth,Brighton
12,Everton,Brentford
12,Fulham,Wolves
12,Man City,Spurs
12,Southampton,Liverpool
12,Ipswich,Man Utd
12,Newcastle,West Ham
13,Brighton,Southampton
13,Brentford,Leicester
13,Crystal Palace,Newcastle
13,Nott'm Forest,Ipswich
13,Wolves,Bournemouth
13,West Ham,Arsenal
13,Chelsea,Aston Villa
13,Man Utd,Everton
13,Spurs,Fulham
13,Liverpool,Man City
14,Ipswich,Crystal Palace
14,Leicester,West Ham
14,Everton,Wolves
14,Man City,Nott'm Forest
14,Newcastle,Liverpool
14,Southampton,Chelsea
14,Arsenal,Man Utd
14,Aston Villa,Brentford
14,Fulham,Brighton
14,Bournemouth,Spurs
15,Everton,Liverpool
15,Aston Villa,Southampton
15,Brentford,Newcastle
15,Crystal Palace,Man City
15,Man Utd,Nott'm Forest
15,Fulham,Arsenal
15,Ipswich,Bournemouth
15,Leicester,Brighton
15,Spurs,Chelsea
15,West Ham,Wolves
16,Arsenal,Everton
16,Liverpool,Fulham
16,Newcastle,Leicester
16,Wolves,Ipswich
16,Nott'm Forest,Aston Villa
16,Brighton,Crystal Palace
16,Man City,Man Utd
16,Chelsea,Brentford
16,Southampton,Spurs
16,Bournemouth,West Ham
17,Aston Villa,Man City
17,Brentford,Nott'm Forest
17,Ipswich,Newcastle
17,West Ham,Brighton
17,Crystal Palace,Arsenal
17,Everton,Chelsea
17,Fulham,Southampton
17,Leicester,Wolves
17,Man Utd,Bournemouth
17,Spurs,Liverpool
18,Man City,Everton
18,Bournemouth,Crystal Palace
18,Chelsea,Fulham
18,Newcastle,Aston Villa
18,Nott'm Forest,Spurs
18,Southampton,West Ham
18,Wolves,Man Utd
18,Liverpool,Leicester
18,Brighton,Brentford
18,Arsenal,Ipswich
19,Leicester,Man City
19,Crystal Palace,Southampton
19,Everton,Nott'm Forest
19,Fulham,Bournemouth
19,Spurs,Wolves
19,West Ham,Liverpool
19,Aston Villa,Brighton
19,Ipswich,Chelsea
19,Man Utd,Newcastle
19,Brentford,Arsenal
20,Spurs,Newcastle
20,Aston Villa,Leicester
20,Bournemouth,Everton
20,Crystal Palace,Chelsea
20,Man City,West Ham
20,Southampton,Brentford
20,Brighton,Arsenal
20,Fulham,Ipswich
20,Liverpool,Man Utd
20,Wolves,Nott'm Forest
21,Brentford,Man City
21,West Ham,Fulham
21,Chelsea,Bournemouth
21,Nott'm Forest,Liverpool
21,Everton,Aston Villa
21,Leicester,Crystal Palace
21,Newcastle,Wolves
21,Arsenal,Spurs
21,Ipswich,Brighton
21,Man Utd,Southampton
22,Newcastle,Bournemouth
22,Brentford,Liverpool
22,Leicester,Fulham
22,West Ham,Crystal Palace
22,Arsenal,Aston Villa
22,Everton,Spurs
22,Man Utd,Brighton
22,Nott'm Forest,Southampton
22,Ipswich,Man City
22,Chelsea,Wolves
23,Bournemouth,Nott'm Forest
23,Brighton,Everton
23,Liverpool,Ipswich
23,Southampton,Newcastle
23,Wolves,Arsenal
23,Man City,Chelsea
23,Crystal Palace,Brentford
23,Spurs,Leicester
23,Aston Villa,West Ham
23,Fulham,Man Utd
24,Arsenal,Man City
24,Bournemouth,Liverpool
24,Brentford,Spurs
24,Chelsea,West Ham
24,Everton,Leicester
24,Ipswich,Southampton
24,Man Utd,Crystal Palace
